batch,experiment,stage,camera_model,camera_short,route,fps,resolution,complete,evaluation_frame_count,runtime_s,psnr_masked,ssim_masked,lpips_masked,metric_path
matrix_repeat_20260812,2fps/720p/simple_radial_a_repeat,sts,SIMPLE_RADIAL,SR,A,2,720p,True,12,1827.0,26.43472654637002,0.8375062495470047,0.1222818394502004,data/10_runs/matrix_repeat_20260812/2fps/720p/simple_radial_a_repeat/metrics/sts_masked.json
matrix_repeat_20260812,2fps/qhd/simple_radial_a_repeat,sts,SIMPLE_RADIAL,SR,A,2,qhd,True,12,1405.0,27.202277466853072,0.8437502756714821,0.09976728959009051,data/10_runs/matrix_repeat_20260812/2fps/qhd/simple_radial_a_repeat/metrics/sts_masked.json
matrix_repeat_20260812,2fps/low/simple_radial_a_repeat,sts,SIMPLE_RADIAL,SR,A,2,low,True,12,998.0,27.533297384937033,0.8640204494198164,0.08927699519942205,data/10_runs/matrix_repeat_20260812/2fps/low/simple_radial_a_repeat/metrics/sts_masked.json
matrix_repeat_20260812,5fps/720p/simple_radial_a_repeat,sts,SIMPLE_RADIAL,SR,A,5,720p,True,30,1997.0,29.431362691937977,0.8966686109701792,0.1223879586905241,data/10_runs/matrix_repeat_20260812/5fps/720p/simple_radial_a_repeat/metrics/sts_masked.json
matrix_repeat_20260812,5fps/qhd/simple_radial_a_repeat,sts,SIMPLE_RADIAL,SR,A,5,qhd,True,30,1572.0,28.324486226024487,0.8865473707516988,0.11922732815146446,data/10_runs/matrix_repeat_20260812/5fps/qhd/simple_radial_a_repeat/metrics/sts_masked.json
matrix_repeat_20260812,5fps/low/simple_radial_a_repeat,sts,SIMPLE_RADIAL,SR,A,5,low,True,30,1105.0,29.849452260727215,0.9309473474820454,0.08130772386988004,data/10_runs/matrix_repeat_20260812/5fps/low/simple_radial_a_repeat/metrics/sts_masked.json
matrix_repeat_20260812,2fps/720p/simple_radial_sugar_repeat,sts,SIMPLE_RADIAL,SR,SuGaR*,2,720p,True,12,2064.0,26.73070790401965,0.8402557919422785,0.12140586910148461,data/10_runs/matrix_repeat_20260812/2fps/720p/simple_radial_sugar_repeat/metrics/sts_masked.json
matrix_repeat_20260812,2fps/qhd/simple_radial_sugar_repeat,sts,SIMPLE_RADIAL,SR,SuGaR*,2,qhd,True,12,1586.0,27.16428245804853,0.8423187409838041,0.09753922667975228,data/10_runs/matrix_repeat_20260812/2fps/qhd/simple_radial_sugar_repeat/metrics/sts_masked.json
matrix_repeat_20260812,2fps/low/simple_radial_sugar_repeat,sts,SIMPLE_RADIAL,SR,SuGaR*,2,low,True,12,1153.0,27.237397429482982,0.8633375937740008,0.08931630803272128,data/10_runs/matrix_repeat_20260812/2fps/low/simple_radial_sugar_repeat/metrics/sts_masked.json
matrix_repeat_20260812,5fps/720p/simple_radial_sugar_repeat,sts,SIMPLE_RADIAL,SR,SuGaR*,5,720p,True,30,2238.0,29.25728835681764,0.8964333017667134,0.12351953747371833,data/10_runs/matrix_repeat_20260812/5fps/720p/simple_radial_sugar_repeat/metrics/sts_masked.json
