batch,experiment,stage,camera_model,camera_short,route,fps,resolution,complete,evaluation_frame_count,runtime_s,psnr_masked,ssim_masked,lpips_masked,metric_path
matrix_full_pipe,2fps/720p/simple_radial_a,sts,SIMPLE_RADIAL,SR,A,2,720p,True,12,1802.0,26.338203632415798,0.831955740849177,0.12186835613101721,data/10_runs/matrix_full_pipe/2fps/720p/simple_radial_a/metrics/sts_masked.json
matrix_full_pipe,5fps/720p/simple_radial_a,sts,SIMPLE_RADIAL,SR,A,5,720p,True,30,1975.0,29.41639447787539,0.8947424829006195,0.12371772788465023,data/10_runs/matrix_full_pipe/5fps/720p/simple_radial_a/metrics/sts_masked.json
matrix_full_pipe,5fps/qhd/simple_radial_a,sts,SIMPLE_RADIAL,SR,A,5,qhd,True,30,1559.0,28.299244529250423,0.8848738173643748,0.11927219728628795,data/10_runs/matrix_full_pipe/5fps/qhd/simple_radial_a/metrics/sts_masked.json
matrix_full_pipe,5fps/low/simple_radial_a,sts,SIMPLE_RADIAL,SR,A,5,low,True,30,1097.0,29.788966266029643,0.9295712947845459,0.08216406976183256,data/10_runs/matrix_full_pipe/5fps/low/simple_radial_a/metrics/sts_masked.json
matrix_rest,2fps/720p/simple_radial_sugar,sts,SIMPLE_RADIAL,SR,SuGaR*,2,720p,False,12,2072.0,26.643571416065537,0.8306077867746353,0.1218928440163533,data/10_runs/matrix_rest/2fps/720p/simple_radial_sugar/metrics/sts_masked.json
matrix_rest,2fps/qhd/simple_radial_sugar,sts,SIMPLE_RADIAL,SR,SuGaR*,2,qhd,False,12,1577.0,27.119637679113307,0.8399685497085253,0.09755255018050472,data/10_runs/matrix_rest/2fps/qhd/simple_radial_sugar/metrics/sts_masked.json
matrix_rest,2fps/low/simple_radial_sugar,sts,SIMPLE_RADIAL,SR,SuGaR*,2,low,False,12,1125.0,27.586205305511566,0.8665877083937327,0.08673785626888275,data/10_runs/matrix_rest/2fps/low/simple_radial_sugar/metrics/sts_masked.json
matrix_rest,5fps/720p/simple_radial_sugar,sts,SIMPLE_RADIAL,SR,SuGaR*,5,720p,False,30,2241.0,29.33740954963191,0.8962395787239075,0.12227115109562874,data/10_runs/matrix_rest/5fps/720p/simple_radial_sugar/metrics/sts_masked.json
matrix_rest,5fps/qhd/simple_radial_sugar,sts,SIMPLE_RADIAL,SR,SuGaR*,5,qhd,False,30,1764.0,28.146120503360272,0.8861027578512828,0.11757898119588693,data/10_runs/matrix_rest/5fps/qhd/simple_radial_sugar/metrics/sts_masked.json
matrix_rest,5fps/low/simple_radial_sugar,sts,SIMPLE_RADIAL,SR,SuGaR*,5,low,False,30,1274.0,29.666982929568185,0.929531580209732,0.0827192027742664,data/10_runs/matrix_rest/5fps/low/simple_radial_sugar/metrics/sts_masked.json
matrix_rest,2fps/720p/opencv_a,sts,OPENCV,OPENCV,A,2,720p,True,12,1860.0,26.092518307639192,0.8309313009182612,0.12672276174028715,data/10_runs/matrix_rest/2fps/720p/opencv_a/metrics/sts_masked.json
matrix_rest,2fps/qhd/opencv_a,sts,OPENCV,OPENCV,A,2,qhd,True,12,1509.0,27.36821419764969,0.8470893651247025,0.10358844542255004,data/10_runs/matrix_rest/2fps/qhd/opencv_a/metrics/sts_masked.json
matrix_rest,2fps/low/opencv_a,sts,OPENCV,OPENCV,A,2,low,True,12,1134.0,27.519740001243107,0.8680382470289866,0.09497065624843042,data/10_runs/matrix_rest/2fps/low/opencv_a/metrics/sts_masked.json
matrix_rest,5fps/720p/opencv_a,sts,OPENCV,OPENCV,A,5,720p,True,30,1930.0,29.756000516272163,0.9013295888900756,0.11802495494484902,data/10_runs/matrix_rest/5fps/720p/opencv_a/metrics/sts_masked.json
matrix_rest,5fps/qhd/opencv_a,sts,OPENCV,OPENCV,A,5,qhd,True,30,1569.0,27.688392915735324,0.8647993117570877,0.12551099732518195,data/10_runs/matrix_rest/5fps/qhd/opencv_a/metrics/sts_masked.json
matrix_rest,5fps/low/opencv_a,sts,OPENCV,OPENCV,A,5,low,True,30,1076.0,29.993539071741456,0.9335996011892954,0.08218505686769882,data/10_runs/matrix_rest/5fps/low/opencv_a/metrics/sts_masked.json
matrix_rest,2fps/720p/pinhole_a,sts,PINHOLE,PH,A,2,720p,True,12,1917.0,26.542144625605363,0.8285634219646454,0.12690218910574913,data/10_runs/matrix_rest/2fps/720p/pinhole_a/metrics/sts_masked.json
matrix_rest,2fps/qhd/pinhole_a,sts,PINHOLE,PH,A,2,qhd,True,12,1598.0,25.917121142683843,0.7953506385286649,0.11930196235577266,data/10_runs/matrix_rest/2fps/qhd/pinhole_a/metrics/sts_masked.json
matrix_rest,2fps/low/pinhole_a,sts,PINHOLE,PH,A,2,low,True,12,1278.0,26.218223346544956,0.8198513450721899,0.11265755817294121,data/10_runs/matrix_rest/2fps/low/pinhole_a/metrics/sts_masked.json
matrix_rest,5fps/720p/pinhole_a,sts,PINHOLE,PH,A,5,720p,True,30,2089.0,26.57282792490634,0.8203819960355758,0.15761946799854437,data/10_runs/matrix_rest/5fps/720p/pinhole_a/metrics/sts_masked.json
matrix_rest,5fps/qhd/pinhole_a,sts,PINHOLE,PH,A,5,qhd,True,30,1786.0,28.719432485315437,0.8877927382787069,0.11964402236044407,data/10_runs/matrix_rest/5fps/qhd/pinhole_a/metrics/sts_masked.json
matrix_rest,5fps/low/pinhole_a,sts,PINHOLE,PH,A,5,low,True,30,1387.0,26.59301838610231,0.851985598107179,0.12276924836138885,data/10_runs/matrix_rest/5fps/low/pinhole_a/metrics/sts_masked.json
