camera_model,camera_short,stage,route,fps,resolution,source_run_count,source_batches,evaluation_frame_count,runtime_s,psnr_masked,ssim_masked,lpips_masked
SIMPLE_RADIAL,SR,sts,A,2,720p,3,matrix_full_pipe;matrix_repeat_20260812,12,1897.6666666666667,26.50121269426849,0.83657259411282,0.12185202156090073
SIMPLE_RADIAL,SR,sts,A,2,qhd,2,matrix_repeat_20260812,12,1495.5,27.1832799624508,0.8430345083276432,0.0986532581349214
SIMPLE_RADIAL,SR,sts,A,2,low,2,matrix_repeat_20260812,12,1075.5,27.385347407210006,0.8636790215969086,0.08929665161607167
SIMPLE_RADIAL,SR,sts,A,5,720p,3,matrix_full_pipe;matrix_repeat_20260812,30,2070.0,29.368348508877002,0.8959481318791708,0.12320840801629755
SIMPLE_RADIAL,SR,sts,A,5,qhd,3,matrix_full_pipe;matrix_repeat_20260812,30,1636.6666666666667,28.20878513104843,0.8855510314305622,0.11937699102693133
SIMPLE_RADIAL,SR,sts,A,5,low,3,matrix_full_pipe;matrix_repeat_20260812,30,1164.3333333333333,29.818297384646012,0.9302379197544521,0.08152318029767937
OPENCV,OPENCV,sts,A,2,720p,3,matrix_repeat_20260812;matrix_rest,12,1951.6666666666667,26.451329897881333,0.833920947379536,0.12505823508318928
OPENCV,OPENCV,sts,A,2,qhd,3,matrix_repeat_20260812;matrix_rest,12,1579.0,26.919838736092245,0.8315106050835714,0.11104392767366435
OPENCV,OPENCV,sts,A,2,low,3,matrix_repeat_20260812;matrix_rest,12,1198.0,27.53341959364597,0.8697869562440448,0.0945684802201059
OPENCV,OPENCV,sts,A,5,720p,3,matrix_repeat_20260812;matrix_rest,30,2023.0,29.612941518551718,0.9014811118443807,0.11720215818948215
OPENCV,OPENCV,sts,A,5,qhd,3,matrix_repeat_20260812;matrix_rest,30,1648.3333333333333,27.665501785090655,0.8666624145375358,0.12601007517013285
OPENCV,OPENCV,sts,A,5,low,3,matrix_repeat_20260812;matrix_rest,30,1141.0,29.890497156548985,0.9320875161223942,0.08239056997829013
PINHOLE,PH,sts,A,2,720p,2,matrix_repeat_20260812;matrix_rest,12,1921.0,26.644212977468648,0.8303467258810997,0.12737378586704534
PINHOLE,PH,sts,A,2,qhd,2,matrix_repeat_20260812;matrix_rest,12,1599.0,26.020538968983132,0.7950177273402612,0.11923454065496723
PINHOLE,PH,sts,A,2,low,2,matrix_repeat_20260812;matrix_rest,12,1281.5,26.258069293682766,0.8241479204346736,0.11378294074287018
PINHOLE,PH,sts,A,5,720p,2,matrix_repeat_20260812;matrix_rest,30,2093.0,26.390101344336998,0.8166758214433988,0.1581845440591375
PINHOLE,PH,sts,A,5,qhd,2,matrix_repeat_20260812;matrix_rest,30,1789.0,27.51721004494354,0.8577947154641151,0.1341486819088459
PINHOLE,PH,sts,A,5,low,2,matrix_repeat_20260812;matrix_rest,30,1395.5,26.737546511868317,0.848432062069575,0.12262198974688848
