stage,camera_model,camera_short,route,fps,resolution,complete,frame,psnr_masked,ssim_masked,lpips_masked
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00000.jpg,22.767062026956424,0.7861888408660889,0.21866834163665771
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00008.jpg,25.605717909793245,0.8913511037826538,0.09196668863296509
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00016.jpg,22.37020994524962,0.8133670091629028,0.03821063041687012
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00024.jpg,31.29184562561903,0.8647838830947876,0.14033707976341248
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00032.jpg,29.530180205782166,0.8674379587173462,0.04491143301129341
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00040.jpg,31.30423703334592,0.9135751724243164,0.0417419895529747
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00048.jpg,29.505090805574163,0.883482038974762,0.17698414623737335
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00056.jpg,20.586786508089464,0.6814033389091492,0.2476910948753357
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00064.jpg,19.52490072770704,0.733619213104248,0.1007445901632309
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00072.jpg,28.538925287258706,0.8600502014160156,0.07779331505298615
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00080.jpg,25.612026027036517,0.8296617269515991,0.09963130205869675
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_full_pipe:00088.jpg,29.421461486577293,0.8585484027862549,0.18373966217041016
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00000.jpg,22.26344035006221,0.7884643077850342,0.22533538937568665
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00008.jpg,25.676339263026073,0.8832821249961853,0.09148253500461578
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00016.jpg,19.92226626362228,0.8024027943611145,0.040195658802986145
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00024.jpg,31.503441450980304,0.8640928268432617,0.1488645374774933
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00032.jpg,28.777396452564634,0.8723797798156738,0.04692203551530838
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00040.jpg,30.435940748744077,0.9082179069519043,0.04366765171289444
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00048.jpg,29.40678553645762,0.8787108659744263,0.1741420179605484
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00056.jpg,22.22533038237207,0.7202003598213196,0.24336786568164825
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00064.jpg,22.36202081099885,0.7884196043014526,0.0859377384185791
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00072.jpg,28.897879820351307,0.8514114618301392,0.08205626159906387
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00080.jpg,26.31551472039896,0.8374265432357788,0.09889907389879227
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00088.jpg,29.430362756861893,0.8550664186477661,0.1865113079547882
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00000.jpg,22.710702334700112,0.798395574092865,0.23530906438827515
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00008.jpg,25.660342408866043,0.8825417757034302,0.0947694480419159
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00016.jpg,21.757640255823922,0.8125173449516296,0.03742387145757675
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00024.jpg,31.253925135540513,0.8623830676078796,0.14649266004562378
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00032.jpg,29.767209916974892,0.8816941976547241,0.04558054730296135
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00040.jpg,31.394936890910405,0.9056927561759949,0.041947949677705765
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00048.jpg,30.87369432222495,0.8916844129562378,0.15814927220344543
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00056.jpg,22.22475584496175,0.728999674320221,0.24313929677009583
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00064.jpg,22.517375654720546,0.7837084531784058,0.08800707757472992
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00072.jpg,27.34290669967209,0.8532091975212097,0.08153125643730164
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00080.jpg,25.986743238336103,0.8235694766044617,0.0995827466249466
sts,SIMPLE_RADIAL,SR,A,2,720p,True,matrix_repeat_20260812:00088.jpg,29.278262145504456,0.8586735725402832,0.1849372386932373
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00000.jpg,27.034300768567313,0.9126831889152527,0.15547499060630798
sts,SIMPLE_RADIAL,SR,A,2,qhd,True,matrix_repeat_20260812:00008.jpg,25.514531613306186,0.8987264633178711,0.028128309175372124
