batch,experiment,stage,camera_model,camera_short,route,fps,resolution,complete,evaluation_frame_count,runtime_s,psnr_masked,ssim_masked,lpips_masked,metric_path
mean_historical_plus_repeat,mean/SR/2fps/720p/sugar_coarse,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,2,720p,True,12,2064.5,21.62396526604121,0.7523515621821086,0.15450557911147675,data/10_runs/matrix_sugar_followup_12/2fps/720p/simple_radial_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/SR/2fps/qhd/sugar_coarse,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,2,qhd,True,12,1582.0,21.795923920773276,0.7472878446181614,0.1296347587679823,data/10_runs/matrix_sugar_followup_12/2fps/qhd/simple_radial_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/SR/2fps/low/sugar_coarse,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,2,low,True,12,1147.5,21.95754551573455,0.7328618963559468,0.12729330686852336,data/10_runs/matrix_sugar_followup_12/2fps/low/simple_radial_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/SR/5fps/720p/sugar_coarse,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,5,720p,True,30,2239.5,21.189352717405367,0.7773008793592453,0.15177572139849266,data/10_runs/matrix_sugar_followup_12/5fps/720p/simple_radial_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/SR/5fps/qhd/sugar_coarse,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,5,qhd,True,30,1782.0,21.47751190502238,0.7708061248064041,0.1514764649172624,data/10_runs/matrix_sugar_followup_12/5fps/qhd/simple_radial_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/SR/5fps/low/sugar_coarse,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,5,low,True,30,1283.5,21.803196134341718,0.7707370618979137,0.12412121184170247,data/10_runs/matrix_sugar_followup_12/5fps/low/simple_radial_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/OPENCV/2fps/720p/sugar_coarse,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,2,720p,True,12,2121.0,21.70630496664117,0.7450977514187496,0.15514735101411742,data/10_runs/matrix_sugar_followup_12/2fps/720p/opencv_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/OPENCV/2fps/qhd/sugar_coarse,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,2,qhd,True,12,1699.0,21.982314810770433,0.7481644426782926,0.1281134986008207,data/10_runs/matrix_sugar_followup_12/2fps/qhd/opencv_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/OPENCV/2fps/low/sugar_coarse,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,2,low,True,12,1310.5,21.740271427772875,0.721774992843469,0.1269391051804026,data/10_runs/matrix_sugar_followup_12/2fps/low/opencv_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/OPENCV/5fps/720p/sugar_coarse,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,5,720p,True,30,2214.5,21.129204080573817,0.7791953335205715,0.15214804019778966,data/10_runs/matrix_sugar_followup_12/5fps/720p/opencv_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/OPENCV/5fps/qhd/sugar_coarse,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,5,qhd,True,30,1791.0,21.237724416500853,0.7697069416443507,0.15238601739207902,data/10_runs/matrix_sugar_followup_12/5fps/qhd/opencv_sugar/metrics/sugar_coarse_masked.json
mean_historical_plus_repeat,mean/OPENCV/5fps/low/sugar_coarse,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,5,low,True,30,1264.5,21.904629632768163,0.7742220650116602,0.12494864047815403,data/10_runs/matrix_sugar_followup_12/5fps/low/opencv_sugar/metrics/sugar_coarse_masked.json
