camera_model,camera_short,fps,resolution,delta_psnr_masked,delta_ssim_masked,delta_lpips_masked
SIMPLE_RADIAL,SR,2,720p,-4.877247428227278,-0.0842210319307114,0.032653557550576015
SIMPLE_RADIAL,SR,2,qhd,-5.387356041677524,-0.0957466637094817,0.030981500633060904
SIMPLE_RADIAL,SR,2,low,-5.427801891475454,-0.13081712524096178,0.03799665525245169
SIMPLE_RADIAL,SR,5,720p,-8.178995791471635,-0.11864725251992547,0.028567313382195106
SIMPLE_RADIAL,SR,5,qhd,-6.731273226026051,-0.11474490662415815,0.032099473890331076
SIMPLE_RADIAL,SR,5,low,-8.015101250304294,-0.15950085785653845,0.0425980315440231
OPENCV,OPENCV,2,720p,-4.745024931240163,-0.08882319596078647,0.03008911593092814
OPENCV,OPENCV,2,qhd,-4.937523925321813,-0.08334616240527881,0.017069570927156344
OPENCV,OPENCV,2,low,-5.793148165873095,-0.14801196340057576,0.032370624960296704
OPENCV,OPENCV,5,720p,-8.4837374379779,-0.12228577832380927,0.034945882008307505
OPENCV,OPENCV,5,qhd,-6.427777368589801,-0.09695547289318507,0.02637594222194617
OPENCV,OPENCV,5,low,-7.985867523780822,-0.1578654511107339,0.042558070499863904
