stage,camera_model,camera_short,fps,resolution,psnr_masked,ssim_masked,lpips_masked
sugar_coarse,SIMPLE_RADIAL,SR,2,720p,21.6036526305262,0.7518817782402039,0.1545456706856688
sugar_coarse,SIMPLE_RADIAL,SR,2,qhd,21.803442878999608,0.7499074339866638,0.13049115675191084
sugar_coarse,SIMPLE_RADIAL,SR,2,low,21.941738620206205,0.731632004181544,0.12839596470197043
sugar_coarse,SIMPLE_RADIAL,SR,5,720p,21.155833774373743,0.7763072808583578,0.15229462906718255
sugar_coarse,SIMPLE_RADIAL,SR,5,qhd,21.571420849312776,0.7730509440104166,0.15094675831496715
sugar_coarse,SIMPLE_RADIAL,SR,5,low,21.831374357304686,0.7719941377639771,0.12377006361881891
sugar_coarse,OPENCV,OPENCV,2,720p,21.775156393060087,0.747405802210172,0.15349433509012064
sugar_coarse,OPENCV,OPENCV,2,qhd,22.08118374422233,0.7512898941834768,0.12767535044501224
sugar_coarse,OPENCV,OPENCV,2,low,21.720078199136083,0.7219708909591039,0.12735538029422364
sugar_coarse,OPENCV,OPENCV,5,720p,21.129953361328774,0.7796898146470388,0.15278798701862495
sugar_coarse,OPENCV,OPENCV,5,qhd,21.16734882699988,0.7771640419960022,0.1456508836398522
sugar_coarse,OPENCV,OPENCV,5,low,21.896778506240096,0.7762713154157003,0.12357727997004986
