stage,camera_model,camera_short,route,fps,resolution,complete,frame,psnr_masked,ssim_masked,lpips_masked
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00000.jpg,22.767062026956424,0.7861888408660889,0.21866834163665771
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00008.jpg,25.605717909793245,0.8913511037826538,0.09196668863296509
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00016.jpg,22.37020994524962,0.8133670091629028,0.03821063041687012
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00024.jpg,31.29184562561903,0.8647838830947876,0.14033707976341248
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00032.jpg,29.530180205782166,0.8674379587173462,0.04491143301129341
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00040.jpg,31.30423703334592,0.9135751724243164,0.0417419895529747
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00048.jpg,29.505090805574163,0.883482038974762,0.17698414623737335
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00056.jpg,20.586786508089464,0.6814033389091492,0.2476910948753357
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00064.jpg,19.52490072770704,0.733619213104248,0.1007445901632309
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00072.jpg,28.538925287258706,0.8600502014160156,0.07779331505298615
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00080.jpg,25.612026027036517,0.8296617269515991,0.09963130205869675
sts,SIMPLE_RADIAL,SR,A,2,720p,True,00088.jpg,29.421461486577293,0.8585484027862549,0.18373966217041016
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00000.jpg,27.106408688878876,0.8854555487632751,0.15528619289398193
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00008.jpg,28.354874122453655,0.9170418977737427,0.1671411395072937
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00016.jpg,27.936379302574174,0.8933752179145813,0.14106632769107819
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00024.jpg,27.599806955883327,0.8994940519332886,0.1612224131822586
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00032.jpg,27.40283026262056,0.9238461256027222,0.08217975497245789
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00040.jpg,26.745176357403295,0.8797546029090881,0.03616755083203316
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00048.jpg,28.260858085226154,0.8434578776359558,0.04271726310253143
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00056.jpg,29.166081360602803,0.9136524796485901,0.08153906464576721
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00064.jpg,30.741661197618978,0.8997523188591003,0.14349493384361267
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00072.jpg,29.408070902499787,0.8769383430480957,0.1404472142457962
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00080.jpg,23.703950629528457,0.7384651303291321,0.07346761971712112
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00088.jpg,32.44573414434201,0.9009777307510376,0.13187718391418457
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00096.jpg,31.27366348745404,0.9268620610237122,0.04020753502845764
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00104.jpg,32.40951159246524,0.9115421772003174,0.038571178913116455
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00112.jpg,30.15131295698542,0.9279395341873169,0.11271076649427414
sts,SIMPLE_RADIAL,SR,A,5,720p,True,00120.jpg,31.59288555878247,0.9046350717544556,0.18858309090137482
