batch,experiment,stage,camera_model,camera_short,route,fps,resolution,complete,evaluation_frame_count,runtime_s,psnr_masked,ssim_masked,lpips_masked,metric_path
matrix_sugar_followup_12,2fps/720p/simple_radial_sugar,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,2,720p,True,12,2065.0,21.6036526305262,0.7518817782402039,0.1545456706856688,data/10_runs/matrix_sugar_followup_12/2fps/720p/simple_radial_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,2fps/qhd/simple_radial_sugar,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,2,qhd,True,12,1578.0,21.803442878999608,0.7499074339866638,0.13049115675191084,data/10_runs/matrix_sugar_followup_12/2fps/qhd/simple_radial_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,2fps/low/simple_radial_sugar,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,2,low,True,12,1142.0,21.941738620206205,0.731632004181544,0.12839596470197043,data/10_runs/matrix_sugar_followup_12/2fps/low/simple_radial_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,5fps/720p/simple_radial_sugar,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,5,720p,True,30,2241.0,21.155833774373743,0.7763072808583578,0.15229462906718255,data/10_runs/matrix_sugar_followup_12/5fps/720p/simple_radial_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,5fps/qhd/simple_radial_sugar,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,5,qhd,True,30,1785.0,21.571420849312776,0.7730509440104166,0.15094675831496715,data/10_runs/matrix_sugar_followup_12/5fps/qhd/simple_radial_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,5fps/low/simple_radial_sugar,sugar_coarse,SIMPLE_RADIAL,SR,SuGaR-Coarse,5,low,True,30,1276.0,21.831374357304686,0.7719941377639771,0.12377006361881891,data/10_runs/matrix_sugar_followup_12/5fps/low/simple_radial_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,2fps/720p/opencv_sugar,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,2,720p,True,12,2118.0,21.775156393060087,0.747405802210172,0.15349433509012064,data/10_runs/matrix_sugar_followup_12/2fps/720p/opencv_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,2fps/qhd/opencv_sugar,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,2,qhd,True,12,1694.0,22.08118374422233,0.7512898941834768,0.12767535044501224,data/10_runs/matrix_sugar_followup_12/2fps/qhd/opencv_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,2fps/low/opencv_sugar,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,2,low,True,12,1309.0,21.720078199136083,0.7219708909591039,0.12735538029422364,data/10_runs/matrix_sugar_followup_12/2fps/low/opencv_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,5fps/720p/opencv_sugar,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,5,720p,True,30,2229.0,21.129953361328774,0.7796898146470388,0.15278798701862495,data/10_runs/matrix_sugar_followup_12/5fps/720p/opencv_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,5fps/qhd/opencv_sugar,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,5,qhd,True,30,1792.0,21.16734882699988,0.7771640419960022,0.1456508836398522,data/10_runs/matrix_sugar_followup_12/5fps/qhd/opencv_sugar/metrics/sugar_coarse_masked.json
matrix_sugar_followup_12,5fps/low/opencv_sugar,sugar_coarse,OPENCV,OPENCV,SuGaR-Coarse,5,low,True,30,1270.0,21.896778506240096,0.7762713154157003,0.12357727997004986,data/10_runs/matrix_sugar_followup_12/5fps/low/opencv_sugar/metrics/sugar_coarse_masked.json
