batch,source,experiment,fps,resolution,variant,camera_model,mesh_mode,model_stage,status,runtime_s,runtime_source,evaluation_frames,empty_fraction,psnr_masked,ssim_masked,lpips_masked,quality_index,quality_per_minute,failure_reason
matrix_full_pipe,previous batch,2fps/720p/simple_radial_a,2,720p,simple_radial_a,SIMPLE_RADIAL,original_gs,sts,success,1802,pipeline_run step sum,12,0.0,26.338203632415798,0.831955740849177,0.12186835613101721,28.062614389376595,0.9343822771157578,
matrix_full_pipe,previous batch,2fps/low/simple_radial_a,2,low,simple_radial_a,SIMPLE_RADIAL,original_gs,sts,failed,1001,pipeline_run step sum,,0.020833333333333332,,,,,,Error: Empty evaluation mask for 00056.jpg
matrix_full_pipe,previous batch,2fps/qhd/simple_radial_a,2,qhd,simple_radial_a,SIMPLE_RADIAL,original_gs,sts,failed,1399,pipeline_run step sum,,0.020833333333333332,,,,,,Error: Empty evaluation mask for 00056.jpg
matrix_full_pipe,previous batch,5fps/720p/simple_radial_a,5,720p,simple_radial_a,SIMPLE_RADIAL,original_gs,sts,success,1975,pipeline_run step sum,30,0.0,29.41639447787539,0.8947424829006195,0.12371772788465023,67.55491752539979,2.05230129191088,
matrix_full_pipe,previous batch,5fps/low/simple_radial_a,5,low,simple_radial_a,SIMPLE_RADIAL,original_gs,sts,success,1097,pipeline_run step sum,30,0.0,29.788966266029643,0.9295712947845459,0.08216406976183256,97.35591625867227,5.3248450095900965,
matrix_full_pipe,previous batch,5fps/qhd/simple_radial_a,5,qhd,simple_radial_a,SIMPLE_RADIAL,original_gs,sts,success,1559,pipeline_run step sum,30,0.008333333333333333,28.299244529250423,0.8848738173643748,0.11927219728628795,58.00427914128176,2.232364816213538,
matrix_rest,matrix_rest,2fps/720p/opencv_a,2,720p,opencv_a,OPENCV,original_gs,sts,success,1860,pipeline_run step sum,12,0.0,26.092518307639192,0.8309313009182612,0.12672276174028715,23.66212158548854,0.7632942446931786,
matrix_rest,matrix_rest,2fps/720p/pinhole_a,2,720p,pinhole_a,PINHOLE,original_gs,sts,success,1917,pipeline_run step sum,12,0.0,26.542144625605363,0.8285634219646454,0.12690218910574913,26.688581501361963,0.8353233646748658,
matrix_rest,matrix_rest,2fps/720p/simple_radial_sugar,2,720p,simple_radial_sugar,SIMPLE_RADIAL,sugar_coarse,sts,failed,2072,pipeline_run step sum,12,0.0,26.643571416065537,0.8306077867746353,0.1218928440163533,,,SuGaR render helper import failed: sugar_scene unavailable
matrix_rest,matrix_rest,2fps/low/opencv_a,2,low,opencv_a,OPENCV,original_gs,sts,success,1134,pipeline_run step sum,12,0.020833333333333332,27.519740001243107,0.8680382470289866,0.09497065624843042,58.30644140819323,3.0849968999044037,
